Year,Severe Storm Count,Severe Storm Cost,Severe Storm Lower 95,Severe Storm Upper 95
2001,2,6.6,5.6,7.3
2002,2,4.8,4.1,5.5
2003,4,13.4,11.2,16.1
2004,2,2.7,2.3,3.4
2005,1,1.4,1.1,1.4
2006,5,10.6,9.1,11.8
2007,1,3.7,3.1,3.9
2008,6,12.9,11.1,14.5
2009,6,11.5,10.1,12.2
2010,4,12.6,11.8,15.1
2011,10,44,37.7,51.7
2012,7,22,19.6,23.5
2013,7,14.2,12.6,16
2014,7,15.6,14.4,17.5
2015,6,10.6,9.7,12.4
2016,8,18.8,15.7,20.2
2017,11,24.1,20.7,28
2018,10,16.5,13.8,20.2
2019,8,16.6,13.9,20.6
2020,13,39.7,33.7,47.2
2021,11,22.5,17.4,27.4
2022,11,22.4,18.7,25.4
2023,19,54,44.3,61.8
